Team,Saison,MarketValue
1.FC Heidenheim 1846,2014,11.3
1.FC Heidenheim 1846,2015,13.65
1.FC Heidenheim 1846,2016,14.93
1.FC Heidenheim 1846,2017,14.48
1.FC Heidenheim 1846,2018,20.3
1.FC Heidenheim 1846,2019,19.7
1.FC Heidenheim 1846,2020,20.5
1.FC Heidenheim 1846,2021,18.35
1.FC Heidenheim 1846,2022,25.2
1.FC Heidenheim 1846,2023,66.45
1.FC Heidenheim 1846,2024,72.53
1.FC Heidenheim 1846,2025,58.9
1.FC Kaiserslautern,2009,31.2
1.FC Kaiserslautern,2010,50.5
1.FC Kaiserslautern,2011,42.6
1.FC Kaiserslautern,2013,25.5
1.FC Kaiserslautern,2014,25.05
1.FC Kaiserslautern,2015,19.05
1.FC Kaiserslautern,2016,21.0
1.FC Kaiserslautern,2017,21.63
1.FC Kaiserslautern,2022,14.58
1.FC Kaiserslautern,2023,24.43
1.FC Kaiserslautern,2024,35.6
1.FC Köln,2009,59.13
1.FC Köln,2010,69.28
1.FC Köln,2011,60.18
1.FC Köln,2013,30.25
1.FC Köln,2014,50.75
1.FC Köln,2015,68.63
1.FC Köln,2016,116.15
1.FC Köln,2017,91.73
1.FC Köln,2018,83.5
1.FC Köln,2019,98.48
1.FC Köln,2020,118.2
1.FC Köln,2021,99.28
1.FC Köln,2022,115.65
1.FC Köln,2023,81.45
1.FC Köln,2024,77.38
1.FC Köln,2025,74.68
1.FC Magdeburg,2018,12.65
1.FC Magdeburg,2022,17.5
1.FC Magdeburg,2023,18.05
1.FC Magdeburg,2024,30.4
1.FC Nürnberg,2009,47.5
1.FC Nürnberg,2010,60.2
1.FC Nürnberg,2011,52.1
1.FC Nürnberg,2012,46.83
1.FC Nürnberg,2013,56.45
1.FC Nürnberg,2014,24.65
1.FC Nürnberg,2015,27.8
1.FC Nürnberg,2016,26.48
1.FC Nürnberg,2017,33.2
1.FC Nürnberg,2018,54.4
1.FC Nürnberg,2019,31.8
1.FC Nürnberg,2020,27.38
1.FC Nürnberg,2021,28.83
1.FC Nürnberg,2022,28.53
1.FC Nürnberg,2023,40.3
1.FC Nürnberg,2024,80.73
1.FC Union Berlin,2009,9.88
1.FC Union Berlin,2010,12.15
1.FC Union Berlin,2011,13.13
1.FC Union Berlin,2013,13.83
1.FC Union Berlin,2014,15.4
1.FC Union Berlin,2015,18.7
1.FC Union Berlin,2016,21.7
1.FC Union Berlin,2017,23.15
1.FC Union Berlin,2018,30.48
1.FC Union Berlin,2019,41.2
1.FC Union Berlin,2020,82.05
1.FC Union Berlin,2021,115.9
1.FC Union Berlin,2022,157.95
1.FC Union Berlin,2023,160.95
1.FC Union Berlin,2024,136.05
1.FC Union Berlin,2025,124.4
1.FSV Mainz 05,2009,48.78
1.FSV Mainz 05,2010,60.6
