Team Home,Team Away,Ergebnis,Saison,Spieltag,Wochentag,Liga
VfL Wolfsburg,VfB Stuttgart,2:0,2009,1,Friday,bl1
Borussia Dortmund,1. FC Köln,1:0,2009,1,Saturday,bl1
1. FC Nürnberg,FC Schalke 04,1:2,2009,1,Saturday,bl1
SV Werder Bremen,Eintracht Frankfurt,2:3,2009,1,Saturday,bl1
Hertha BSC,Hannover 96,1:0,2009,1,Saturday,bl1
1. FSV Mainz 05,Bayer 04 Leverkusen,2:2,2009,1,Saturday,bl1
TSG Hoffenheim,FC Bayern München,1:1,2009,1,Saturday,bl1
VfL Bochum,Borussia Mönchengladbach,3:3,2009,1,Sunday,bl1
SC Freiburg,Hamburger SV,1:1,2009,1,Sunday,bl1
FC St. Pauli,Rot-Weiss Ahlen,2:1,2009,1,Friday,bl2
Rot-Weiss Oberhausen,1. FC Union Berlin,0:3,2009,1,Friday,bl2
Karlsruher SC,Alemannia Aachen,1:1,2009,1,Friday,bl2
1. FC Kaiserslautern,SpVgg Greuther Fürth,2:1,2009,1,Saturday,bl2
Fortuna Düsseldorf,SC Paderborn 07,3:0,2009,1,Saturday,bl2
FSV Frankfurt,MSV Duisburg,1:2,2009,1,Sunday,bl2
Energie Cottbus,FC Augsburg,3:1,2009,1,Sunday,bl2
TSV 1860 München,TuS Koblenz,2:0,2009,1,Sunday,bl2
Arminia Bielefeld,Hansa Rostock,3:1,2009,1,Monday,bl2
FC Bayern München,SV Werder Bremen,1:1,2009,2,Saturday,bl1
VfB Stuttgart,SC Freiburg,4:2,2009,2,Saturday,bl1
Hamburger SV,Borussia Dortmund,4:1,2009,2,Saturday,bl1
Bayer 04 Leverkusen,TSG Hoffenheim,1:0,2009,2,Saturday,bl1
Hannover 96,1. FSV Mainz 05,1:1,2009,2,Saturday,bl1
Eintracht Frankfurt,1. FC Nürnberg,1:1,2009,2,Saturday,bl1
1. FC Köln,VfL Wolfsburg,1:3,2009,2,Saturday,bl1
Borussia Mönchengladbach,Hertha BSC,2:1,2009,2,Sunday,bl1
FC Schalke 04,VfL Bochum,3:0,2009,2,Sunday,bl1
SpVgg Greuther Fürth,FSV Frankfurt,4:0,2009,2,Friday,bl2
SC Paderborn 07,Karlsruher SC,2:0,2009,2,Friday,bl2
MSV Duisburg,Energie Cottbus,2:2,2009,2,Friday,bl2
Hansa Rostock,TSV 1860 München,2:1,2009,2,Saturday,bl2
1. FC Union Berlin,Fortuna Düsseldorf,1:0,2009,2,Saturday,bl2
Rot-Weiss Ahlen,1. FC Kaiserslautern,0:1,2009,2,Sunday,bl2
FC Augsburg,Rot-Weiss Oberhausen,2:2,2009,2,Sunday,bl2
TuS Koblenz,Arminia Bielefeld,3:2,2009,2,Sunday,bl2
Alemannia Aachen,FC St. Pauli,0:5,2009,2,Monday,bl2
TSG Hoffenheim,FC Schalke 04,0:0,2009,3,Friday,bl1
Borussia Dortmund,VfB Stuttgart,1:1,2009,3,Saturday,bl1
1. FC Köln,Eintracht Frankfurt,0:0,2009,3,Saturday,bl1
SC Freiburg,Bayer 04 Leverkusen,0:5,2009,3,Saturday,bl1
1. FSV Mainz 05,FC Bayern München,2:1,2009,3,Saturday,bl1
1. FC Nürnberg,Hannover 96,0:2,2009,3,Saturday,bl1
VfL Bochum,Hertha BSC,1:0,2009,3,Sunday,bl1
VfL Wolfsburg,Hamburger SV,2:4,2009,3,Sunday,bl1
SV Werder Bremen,Borussia Mönchengladbach,3:0,2009,3,Sunday,bl1
FSV Frankfurt,SC Paderborn 07,0:0,2009,3,Friday,bl2
1. FC Union Berlin,Hansa Rostock,1:0,2009,3,Friday,bl2
Fortuna Düsseldorf,TuS Koblenz,1:0,2009,3,Friday,bl2
Arminia Bielefeld,FC Augsburg,1:2,2009,3,Saturday,bl2
FC St. Pauli,MSV Duisburg,2:2,2009,3,Saturday,bl2
Energie Cottbus,SpVgg Greuther Fürth,1:3,2009,3,Sunday,bl2
1. FC Kaiserslautern,Alemannia Aachen,1:1,2009,3,Sunday,bl2
Rot-Weiss Oberhausen,Rot-Weiss Ahlen,2:0,2009,3,Sunday,bl2
TSV 1860 München,Karlsruher SC,1:3,2009,3,Monday,bl2
Borussia Mönchengladbach,1. FSV Mainz 05,2:0,2009,4,Friday,bl1
VfB Stuttgart,1. FC Nürnberg,0:0,2009,4,Saturday,bl1
FC Schalke 04,SC Freiburg,0:1,2009,4,Saturday,bl1
Bayer 04 Leverkusen,VfL Bochum,2:1,2009,4,Saturday,bl1
Hannover 96,TSG Hoffenheim,0:1,2009,4,Saturday,bl1
Eintracht Frankfurt,Borussia Dortmund,1:1,2009,4,Saturday,bl1
FC Bayern München,VfL Wolfsburg,3:0,2009,4,Saturday,bl1
Hertha BSC,SV Werder Bremen,2:3,2009,4,Sunday,bl1
Hamburger SV,1. FC Köln,3:1,2009,4,Sunday,bl1
Karlsruher SC,FC St. Pauli,0:4,2009,4,Friday,bl2
Rot-Weiss Ahlen,TSV 1860 München,0:0,2009,4,Friday,bl2
TuS Koblenz,Energie Cottbus,0:2,2009,4,Friday,bl2
SpVgg Greuther Fürth,Arminia Bielefeld,2:4,2009,4,Saturday,bl2
Hansa Rostock,Rot-Weiss Oberhausen,0:2,2009,4,Saturday,bl2
Alemannia Aachen,FSV Frankfurt,3:0,2009,4,Sunday,bl2
FC Augsburg,1. FC Union Berlin,1:1,2009,4,Sunday,bl2
SC Paderborn 07,1. FC Kaiserslautern,0:0,2009,4,Sunday,bl2
MSV Duisburg,Fortuna Düsseldorf,3:0,2009,4,Monday,bl2
VfL Wolfsburg,Bayer 04 Leverkusen,2:3,2009,5,Saturday,bl1
Borussia Dortmund,FC Bayern München,1:5,2009,5,Saturday,bl1
TSG Hoffenheim,VfL Bochum,3:0,2009,5,Saturday,bl1
SC Freiburg,Eintracht Frankfurt,0:2,2009,5,Saturday,bl1
1. FSV Mainz 05,Hertha BSC,2:1,2009,5,Saturday,bl1
1. FC Nürnberg,Borussia Mönchengladbach,1:0,2009,5,Saturday,bl1
Hamburger SV,VfB Stuttgart,3:1,2009,5,Saturday,bl1
SV Werder Bremen,Hannover 96,0:0,2009,5,Sunday,bl1
1. FC Köln,FC Schalke 04,1:2,2009,5,Sunday,bl1
Arminia Bielefeld,Rot-Weiss Ahlen,2:0,2009,5,Friday,bl2
Fortuna Düsseldorf,FC Augsburg,1:1,2009,5,Friday,bl2
1. FC Kaiserslautern,MSV Duisburg,4:1,2009,5,Friday,bl2
TSV 1860 München,SpVgg Greuther Fürth,3:1,2009,5,Saturday,bl2
Hansa Rostock,TuS Koblenz,2:1,2009,5,Saturday,bl2
Rot-Weiss Oberhausen,Alemannia Aachen,1:0,2009,5,Sunday,bl2
FSV Frankfurt,FC St. Pauli,2:3,2009,5,Sunday,bl2
1. FC Union Berlin,SC Paderborn 07,5:4,2009,5,Sunday,bl2
Energie Cottbus,Karlsruher SC,2:4,2009,5,Monday,bl2
FC Schalke 04,VfL Wolfsburg,1:2,2009,6,Friday,bl1
FC Bayern München,1. FC Nürnberg,2:1,2009,6,Saturday,bl1
VfB Stuttgart,1. FC Köln,0:2,2009,6,Saturday,bl1
